datetime;%;plugged
2021-04-13 10:23:23;100;1
2021-04-13 10:24:23;100;1
2021-04-13 10:25:23;99;0
2021-04-13 10:26:23;98;0
2021-04-13 10:27:23;97;0
2021-04-13 10:28:23;96;0
2021-04-13 10:29:23;95;0
2021-04-13 10:30:23;93;0
2021-04-13 10:31:23;92;0
2021-04-13 10:32:24;91;0
2021-04-13 10:33:24;90;0
2021-04-13 10:34:24;89;0
2021-04-13 10:35:24;88;0
2021-04-13 10:36:24;87;0
2021-04-13 10:37:24;86;0
2021-04-13 10:38:24;85;0
2021-04-13 10:39:24;84;0
2021-04-13 10:40:24;84;0
2021-04-13 10:41:24;83;0
2021-04-13 10:42:24;81;0
2021-04-13 10:43:24;80;0
2021-04-13 10:44:24;79;0
2021-04-13 10:45:24;78;0
2021-04-13 10:46:24;77;0
2021-04-13 10:47:24;76;0
2021-04-13 10:48:24;75;0
2021-04-13 10:49:24;74;0
2021-04-13 10:50:24;73;0
2021-04-13 10:51:24;72;0
2021-04-13 10:52:24;71;0
2021-04-13 10:53:24;70;0
2021-04-13 10:54:24;69;0
2021-04-13 10:55:24;68;0
2021-04-13 10:56:24;67;0
2021-04-13 10:57:24;66;0
2021-04-13 10:58:24;65;0
2021-04-13 10:59:24;64;0
2021-04-13 11:00:24;62;0
2021-04-13 11:01:24;62;0
2021-04-13 11:02:24;60;0
2021-04-13 11:03:24;59;0
2021-04-13 11:04:24;58;0
2021-04-13 11:05:24;57;0
2021-04-13 11:06:24;56;0
2021-04-13 11:07:24;55;0
2021-04-13 11:08:24;54;0
2021-04-13 11:09:24;53;0
2021-04-13 11:10:24;52;0
2021-04-13 11:11:24;51;0
2021-04-13 11:12:24;50;0
2021-04-13 11:13:24;49;0
2021-04-13 11:14:24;48;0
2021-04-13 11:15:24;46;0
2021-04-13 11:16:24;45;0
2021-04-13 11:17:25;44;0
2021-04-13 11:18:25;43;0
2021-04-13 11:19:25;42;0
2021-04-13 11:20:25;41;0
2021-04-13 11:21:25;40;0
2021-04-13 11:22:25;40;0
2021-04-13 11:23:25;38;0
2021-04-13 11:24:25;37;0
2021-04-13 11:25:25;36;0
2021-04-13 11:26:25;35;0
2021-04-13 11:27:25;35;0
2021-04-13 11:28:25;34;0
2021-04-13 11:29:25;33;0
2021-04-13 11:30:25;33;0
2021-04-13 11:31:25;32;0
2021-04-13 12:31:04;28;1
2021-04-13 12:32:04;29;1
2021-04-13 12:33:04;30;1
2021-04-13 12:34:04;31;1
2021-04-13 12:35:04;32;1
2021-04-13 12:36:04;33;1
2021-04-13 12:37:04;34;1
2021-04-13 12:38:06;34;1
2021-04-13 12:39:06;35;1
2021-04-13 12:40:06;36;1
2021-04-13 12:41:06;37;1
2021-04-13 12:42:06;38;1
2021-04-13 12:43:06;39;1
2021-04-13 13:02:28;55;1
2021-04-13 13:03:28;56;1
2021-04-13 13:04:28;57;1
2021-04-13 13:05:28;58;1
2021-04-13 13:06:28;59;1
2021-04-13 13:07:28;60;1
2021-04-13 13:08:28;60;1
2021-04-13 13:09:28;61;1
2021-04-13 13:10:28;62;1
2021-04-13 13:11:28;63;1
2021-04-13 13:22:48;73;1
2021-04-13 13:23:48;74;1
2021-04-13 13:24:48;75;1
2021-04-13 13:25:48;75;1
2021-04-13 13:26:48;76;1
2021-04-13 13:27:48;77;1
2021-04-13 13:28:48;78;1
2021-04-13 13:29:48;79;1
2021-04-13 13:30:48;80;1
2021-04-13 13:31:48;81;1
2021-04-13 13:32:48;81;1
2021-04-13 13:33:48;82;1
2021-04-13 13:34:48;83;1
2021-04-13 13:35:48;83;1
2021-04-13 13:36:48;84;1
2021-04-13 13:37:48;85;1
2021-04-13 13:38:48;85;1
2021-04-13 13:39:48;86;1
2021-04-13 13:40:48;87;1
2021-04-13 13:41:48;87;1
2021-04-13 13:42:48;88;1
2021-04-13 13:43:48;88;1
2021-04-13 13:44:48;89;1
2021-04-13 13:45:48;89;1
2021-04-13 13:46:49;90;1
2021-04-13 13:47:49;90;1
2021-04-13 13:48:49;91;1
2021-04-13 13:49:49;91;1
2021-04-13 13:50:49;91;1
2021-04-13 13:51:49;92;1
2021-04-13 13:52:49;92;1
2021-04-13 13:53:49;93;1
2021-04-13 13:54:49;93;1
2021-04-13 13:55:49;93;1
2021-04-13 13:56:49;94;1
2021-04-13 13:57:49;94;1
2021-04-13 13:58:49;94;1
2021-04-13 13:59:49;95;1
2021-04-13 14:00:49;95;1
2021-04-13 14:01:49;95;1
2021-04-13 14:02:49;95;1
2021-04-13 14:03:49;96;1
2021-04-13 14:04:49;95;0
2021-04-13 14:05:49;94;0
2021-04-13 14:06:49;92;0
2021-04-13 14:07:49;91;0
2021-04-13 14:08:49;90;0
2021-04-13 14:09:49;89;0
2021-04-13 14:10:49;89;0
2021-04-13 14:11:49;88;0
2021-04-13 14:12:49;87;0
2021-04-13 14:13:49;86;0
2021-04-13 14:14:49;85;0
2021-04-13 14:15:49;85;0
2021-04-13 14:16:49;84;0
2021-04-13 14:17:49;83;0
2021-04-13 14:18:49;83;0
2021-04-13 14:19:49;82;0
2021-04-13 14:20:49;82;0
2021-04-13 14:21:49;81;0
2021-04-13 14:22:49;80;0
2021-04-13 14:23:49;79;0
2021-04-13 14:24:49;78;0
2021-04-13 14:25:50;77;0
2021-04-13 14:26:50;76;0
2021-04-13 14:27:50;75;0
2021-04-13 14:28:50;74;0
2021-04-13 14:29:50;73;0
2021-04-13 14:30:50;72;0
2021-04-13 14:31:50;71;0
2021-04-13 14:32:50;70;0
2021-04-13 14:33:50;69;0
2021-04-13 14:34:50;68;0
2021-04-13 14:35:50;67;0
2021-04-13 14:36:50;66;0
2021-04-13 14:37:50;65;0
2021-04-13 14:38:50;64;0
2021-04-13 14:39:50;63;0
2021-04-13 14:40:50;62;0
2021-04-13 14:41:50;61;0
2021-04-13 14:42:50;60;0
2021-04-13 14:43:50;59;0
2021-04-13 14:44:50;58;0
2021-04-13 14:45:50;57;0
2021-04-13 14:46:50;56;0
2021-04-13 14:47:50;55;0
2021-04-13 14:48:50;54;0
2021-04-13 14:49:50;53;0
2021-04-13 14:50:50;52;0
2021-04-13 14:51:50;52;0
2021-04-13 14:52:50;51;0
2021-04-13 14:53:50;50;0
2021-04-13 14:54:50;49;0
2021-04-13 14:55:50;48;0
2021-04-13 14:56:50;47;0
2021-04-13 14:57:50;46;0
2021-04-13 14:58:50;45;0
2021-04-13 14:59:50;44;0
2021-04-13 15:00:51;43;0
2021-04-13 15:01:51;42;0
2021-04-13 15:02:51;41;0
2021-04-13 15:03:51;40;0
2021-04-13 15:04:51;39;0
2021-04-13 15:05:51;38;0
2021-04-13 15:06:51;37;0
2021-04-13 15:07:51;36;0
2021-04-13 15:08:51;35;1
2021-04-13 15:09:51;36;1
2021-04-13 15:10:51;36;1
2021-04-13 15:11:51;37;1
2021-04-13 15:12:51;38;1
2021-04-13 15:13:51;39;1
2021-04-13 15:14:51;40;1
2021-04-13 15:15:51;41;1
2021-04-13 15:16:51;41;1
2021-04-13 15:17:51;42;1
2021-04-13 15:18:51;43;1
2021-04-13 15:19:51;44;1
2021-04-13 15:20:51;45;1
2021-04-13 15:21:51;46;1
2021-04-13 15:22:51;47;1
2021-04-13 15:23:51;47;1
2021-04-13 15:24:51;48;1
2021-04-13 15:25:51;49;1
2021-04-13 15:26:51;50;1
2021-04-13 15:27:51;51;1
2021-04-13 15:28:51;52;1
2021-04-13 15:29:51;53;1
2021-04-13 15:30:51;53;1
2021-04-13 15:31:51;54;1
2021-04-13 15:32:51;55;1
2021-04-13 15:33:51;56;1
2021-04-13 15:34:51;57;1
2021-04-13 15:35:51;58;1
2021-04-13 15:36:51;58;1
2021-04-13 15:37:52;59;1
2021-04-13 15:38:52;60;1
2021-04-13 15:39:52;61;1
2021-04-13 15:40:52;62;1
2021-04-13 15:41:52;63;1
2021-04-13 15:42:52;63;1
2021-04-13 15:43:52;64;1
2021-04-13 15:44:52;65;1
2021-04-13 15:45:52;66;1
2021-04-13 15:46:52;67;1
2021-04-13 15:47:52;67;1
2021-04-13 15:48:52;68;1
2021-04-13 15:49:52;69;1
2021-04-13 15:50:52;70;1
2021-04-13 15:51:52;71;1
2021-04-13 15:52:52;72;1
2021-04-13 15:53:52;73;1
2021-04-13 15:54:52;73;1
2021-04-13 15:55:52;74;1
2021-04-13 15:56:52;75;1
2021-04-13 15:57:52;76;1
2021-04-13 15:58:52;77;1
2021-04-13 15:59:52;78;1
2021-04-13 16:00:52;79;1
2021-04-13 16:01:52;79;1
2021-04-13 16:02:52;80;1
2021-04-13 16:03:52;81;1
2021-04-13 16:04:52;82;1
2021-04-13 16:05:52;83;1
2021-04-13 16:06:52;84;1
2021-04-13 16:07:52;84;1
2021-04-13 16:08:52;85;1
2021-04-13 16:09:52;86;1
2021-04-13 16:10:52;86;1
2021-04-13 16:11:52;87;1
2021-04-13 16:12:52;87;1
2021-04-13 16:13:52;88;1
2021-04-13 16:14:52;88;1
2021-04-13 16:15:52;89;1
2021-04-13 16:16:53;89;1
2021-04-13 16:17:53;90;1
2021-04-13 16:18:53;90;1
2021-04-13 16:19:53;91;1
2021-04-13 16:20:53;91;1
2021-04-13 16:21:53;92;1
2021-04-13 16:22:53;92;1
2021-04-13 16:23:53;92;1
2021-04-13 16:24:53;93;1
2021-04-13 16:25:53;93;1
2021-04-13 16:26:53;94;1
2021-04-13 16:27:53;94;1
2021-04-13 16:28:53;94;1
2021-04-13 16:29:53;94;1
2021-04-13 16:30:53;95;1
2021-04-13 16:31:53;95;1
2021-04-13 16:32:53;95;1
2021-04-13 16:33:53;96;1
2021-04-13 16:34:53;95;0
2021-04-13 16:35:53;94;0
2021-04-13 16:36:53;93;0
2021-04-13 16:37:53;92;0
2021-04-13 16:38:53;91;0
2021-04-13 16:39:53;90;0
2021-04-13 16:40:53;89;0
2021-04-13 16:41:53;88;0
2021-04-13 16:42:53;87;0
2021-04-13 16:43:53;87;0
2021-04-13 16:44:53;86;0
2021-04-13 16:45:53;85;0
2021-04-13 16:46:53;84;0
2021-04-13 16:47:53;83;0
2021-04-13 16:48:53;82;0
2021-04-13 16:49:53;81;0
2021-04-13 16:50:53;80;0
2021-04-13 16:51:53;79;0
2021-04-13 16:52:53;79;0
2021-04-13 16:53:53;77;0
2021-04-13 16:54:53;77;0
2021-04-13 16:55:53;76;0
2021-04-13 16:56:53;75;0
2021-04-13 16:57:53;74;0
2021-04-13 16:58:54;73;0
2021-04-13 16:59:54;72;0
2021-04-13 17:00:54;71;0
2021-04-13 17:01:54;70;0
2021-04-13 17:02:54;69;0
2021-04-13 17:03:54;68;0
2021-04-13 17:04:54;67;0
2021-04-13 17:05:54;66;0
2021-04-13 17:06:54;65;0
2021-04-13 17:07:54;64;0
2021-04-13 17:08:54;63;0
2021-04-13 17:09:54;63;0
2021-04-13 17:10:54;62;0
2021-04-13 17:11:54;61;0
2021-04-13 17:12:54;60;0
2021-04-13 17:13:54;59;0
2021-04-13 17:14:54;58;0
2021-04-13 17:15:54;57;0
2021-04-13 17:16:54;56;0
2021-04-13 17:17:54;55;0
2021-04-13 17:18:54;54;0
2021-04-13 17:19:54;53;0
2021-04-13 17:20:54;52;0
2021-04-13 17:21:54;51;0
2021-04-13 17:22:54;50;0
2021-04-13 17:23:54;49;0
2021-04-13 17:24:54;47;0
2021-04-13 17:25:54;47;0
2021-04-13 17:26:54;46;0
2021-04-13 17:27:54;44;0
2021-04-13 17:28:55;44;0
2021-04-13 17:29:55;42;0
2021-04-13 17:30:55;42;0
2021-04-13 17:31:55;41;0
2021-04-13 17:32:55;39;0
2021-04-13 17:33:55;38;0
2021-04-13 17:34:55;37;0
2021-04-13 17:35:55;36;0
2021-04-13 17:36:55;35;0
2021-04-13 17:37:55;34;0
2021-04-13 17:38:55;33;0
2021-04-13 17:39:55;32;0
2021-04-13 17:40:55;32;0
2021-04-13 17:41:55;30;0
2021-04-13 17:42:55;30;0
2021-04-13 17:43:55;29;0
2021-04-13 17:44:55;27;0
2021-04-13 17:45:55;27;0
2021-04-13 17:46:55;26;0
2021-04-13 17:47:55;24;0
2021-04-13 17:48:55;24;0
2021-04-13 17:49:55;23;0
2021-04-13 17:50:55;21;0
2021-04-13 17:51:55;20;0
2021-04-13 17:52:55;19;0
2021-04-13 17:53:55;18;0
2021-04-13 17:54:56;17;0
2021-04-13 17:55:56;17;1
2021-04-13 17:56:56;18;1
2021-04-13 17:57:56;19;1
2021-04-13 17:58:56;20;1
2021-04-13 17:59:56;20;1
2021-04-13 18:00:56;21;1
2021-04-13 18:01:56;22;1
2021-04-13 18:02:56;23;1
2021-04-13 18:03:56;24;1
2021-04-13 18:04:56;25;1
2021-04-13 18:05:56;25;1
2021-04-13 18:06:56;26;1
2021-04-13 18:07:56;27;1
2021-04-13 18:08:56;28;1
2021-04-13 18:09:56;29;1
2021-04-13 18:10:56;30;1
2021-04-13 18:11:56;31;1
2021-04-13 18:12:56;31;1
2021-04-13 18:13:56;32;1
2021-04-13 18:14:56;33;1
2021-04-13 18:15:56;34;1
2021-04-13 18:16:56;35;1
2021-04-13 18:17:56;36;1
2021-04-13 18:18:56;36;1
2021-04-13 18:19:56;37;1
2021-04-13 18:20:57;38;1
2021-04-13 18:21:57;39;1
2021-04-13 18:22:57;40;1
2021-04-13 18:23:57;41;1
2021-04-13 18:24:57;41;1
2021-04-13 18:25:57;42;1
2021-04-13 18:26:57;43;1
2021-04-13 18:27:57;44;1
2021-04-13 18:28:57;45;1
2021-04-13 18:29:57;46;1
2021-04-13 18:30:57;47;1
2021-04-13 18:31:57;47;1
2021-04-13 18:32:57;48;1
2021-04-13 18:33:57;49;1
2021-04-13 18:34:57;50;1
2021-04-13 18:35:57;51;1
2021-04-13 18:36:57;52;1
2021-04-13 18:37:57;53;1
2021-04-13 18:38:57;53;1
2021-04-13 18:39:57;54;1
2021-04-13 18:40:57;55;1
2021-04-13 18:41:57;56;1
2021-04-13 18:42:57;57;1
2021-04-13 18:43:57;58;1
2021-04-13 18:44:57;59;1
2021-04-13 18:45:57;59;1
2021-04-13 18:46:57;60;1
2021-04-13 18:47:57;61;1
2021-04-13 18:48:57;62;1
2021-04-13 18:49:57;63;1
2021-04-13 18:50:58;64;1
2021-04-13 18:51:58;65;1
2021-04-13 18:52:58;65;1
2021-04-13 18:53:58;66;1
2021-04-13 18:54:58;67;1
2021-04-13 18:55:58;68;1
2021-04-13 18:56:58;69;1
2021-04-13 18:57:58;70;1
2021-04-13 18:58:58;71;1
2021-04-13 18:59:58;72;1
2021-04-13 19:00:58;72;1
2021-04-13 19:01:58;73;1
2021-04-13 19:02:58;74;1
2021-04-13 19:03:58;75;1
2021-04-13 19:04:58;76;1
2021-04-13 19:05:58;77;1
2021-04-13 19:23:03;89;1
2021-04-13 19:26:07;90;1
2021-04-13 19:27:07;91;1
2021-04-13 19:28:07;91;1
2021-04-13 19:29:07;92;1
2021-04-13 19:30:07;92;1
2021-04-13 19:31:07;92;1
2021-04-13 19:32:07;93;1
2021-04-13 19:33:07;93;1
2021-04-13 19:34:07;93;1
2021-04-13 19:35:07;94;1
2021-04-13 19:36:07;94;1
2021-04-13 19:37:07;94;1
2021-04-13 19:38:07;95;1
2021-04-13 19:39:07;95;1
2021-04-13 19:40:07;95;1
2021-04-13 19:41:07;95;1
2021-04-13 19:42:07;96;1
2021-04-13 19:43:07;95;0
2021-04-13 19:44:07;94;0
2021-04-13 19:45:07;94;0
2021-04-13 19:46:07;93;0
2021-04-13 19:47:07;92;0
2021-04-13 19:48:07;91;0
2021-04-13 19:49:07;91;0
2021-04-13 19:50:07;90;0
2021-04-13 19:51:07;89;0
2021-04-13 19:52:07;88;0
2021-04-13 19:53:07;88;0
2021-04-13 19:54:08;87;0
2021-04-13 19:55:08;86;0
2021-04-13 19:56:08;85;0
2021-04-13 19:57:08;84;0
2021-04-13 19:58:08;83;0
2021-04-13 19:59:08;82;0
2021-04-13 20:00:08;80;0
2021-04-13 20:01:08;80;0
2021-04-13 20:02:08;78;0
2021-04-13 20:03:08;77;0
2021-04-13 20:04:08;76;0
2021-04-13 20:05:08;75;0
2021-04-13 20:06:08;73;0
2021-04-13 20:07:08;72;0
2021-04-13 20:08:08;72;0
2021-04-13 20:09:08;70;0
2021-04-13 20:10:08;69;0
2021-04-13 20:11:08;68;0
2021-04-13 20:12:08;67;0
2021-04-13 20:13:08;66;0
2021-04-13 20:14:08;65;0
2021-04-13 20:15:08;64;0
2021-04-13 20:16:08;63;0
2021-04-13 20:17:08;62;0
2021-04-13 20:18:09;61;0
2021-04-13 20:19:09;60;0
2021-04-13 20:20:09;59;0
2021-04-13 20:21:09;58;0
2021-04-13 20:22:09;57;0
2021-04-13 20:23:09;56;0
2021-04-13 20:24:09;55;0
